Date,Open,High,Low,Close,Volume,Ci1,Ci2,Ci3,Ci4,Ci5,Ci6,Ci7
20130412,13.50599957,13.66349983,13.35099983,13.64350033,57326000,0,14,4,9,9,0,12
20130415,13.5539999,13.75599957,13.35499954,13.38599968,66520000,5,3,4,4,0,8,0
20130416,13.46549988,13.64000034,13.40299988,13.61699963,42744000,4,4,4,6,12,3,3
20130417,13.53999996,13.54249954,13.21249962,13.36999989,62702000,2,2,6,4,2,4,0
20130418,13.34049988,13.3494997,12.82999992,12.97099972,62752000,0,3,2,2,2,3,0
20130419,12.90799999,13.14400005,12.875,13.01599979,52050000,0,8,4,3,6,3,6
20130422,12.96749973,13.22999954,12.90149975,13.17749977,42382000,9,9,8,6,8,6,6
20130423,13.22500038,13.49349976,13.22500038,13.44499969,45412000,0,12,0,12,0,0,0
20130424,13.47500038,13.57349968,13.34049988,13.43900013,37056000,12,4,15,4,4,0,15
20130425,13.57649994,13.78999996,13.52499962,13.73499966,122330000,4,9,9,9,0,13,18
20130426,13.49849987,13.60099983,12.64050007,12.74050045,280600000,6,6,6,0,6,12,0
20130429,12.74499989,12.85050011,12.45750046,12.48700047,142340000,4,4,6,4,6,4,4
20130430,12.46850014,12.73400021,12.42800045,12.69050026,84976000,0,12,6,0,6,6,6
20130501,12.69499969,12.71000004,12.28750038,12.41149998,87828000,8,8,0,6,6,6,6
20130502,12.44699955,12.64649963,12.28899956,12.62749958,78724000,0,0,8,8,0,8,8
20130503,12.80700016,12.96249962,12.73499966,12.90250015,70280000,0,18,20,0,15,15,8
20130506,12.90450001,12.97500038,12.67099953,12.78600025,46956000,8,8,0,6,6,4,0
20130507,12.81550026,12.98700047,12.64550018,12.88650036,62674000,0,6,4,4,0,7,7
20130508,12.84350014,13.01500034,12.76650047,12.93400002,53540000,8,8,8,0,7,12,7
20130509,12.9364996,13.17749977,12.84399986,13.00800037,55386000,8,8,0,6,6,6,6
20130510,13.04399967,13.18249989,13.01049995,13.18150043,62906000,0,0,9,0,3,3,3
20130513,13.13850021,13.29399967,13.10000038,13.22550011,42990000,0,10,0,3,3,4,0
20130514,13.22500038,13.47000027,13.20149994,13.41650009,54000000,9,4,10,10,4,9,12
20130515,13.35350037,13.45250034,13.22799969,13.32800007,54410000,3,8,8,0,7,12,0
20130516,13.29800034,13.42150021,13.19250011,13.20600033,32870000,3,3,3,3,4,4,0
20130517,13.29150009,13.4989996,13.25,13.49499989,50546000,0,8,4,3,6,3,6
20130520,13.44999981,13.58950043,13.32499981,13.38150024,44180000,5,5,3,4,3,6,0
20130521,13.43700027,13.53849983,13.38300037,13.44299984,34824000,0,6,4,4,0,5,5
20130522,13.36950016,13.37950039,13.03999996,13.14799976,66640000,4,6,4,0,4,8,0
20130523,13.02449989,13.15849972,12.97949982,13.09000015,40006000,4,4,6,4,6,4,4
20130524,12.99250031,13.0965004,12.91699982,13.08699989,33926000,0,12,6,0,6,6,6
20130528,13.32400036,13.55500031,13.30000019,13.36450005,69420000,18,13,0,9,9,9,4
20130529,13.27299976,13.41250038,13.24199963,13.27649975,38068000,0,0,0,0,0,0,0
20130530,13.28549957,13.42850018,13.28050041,13.34150028,33350000,4,9,9,9,0,13,18
20130531,13.30000019,13.59549999,13.29699993,13.46000004,67486000,12,12,12,0,12,12,12
20130603,13.44799995,13.45549965,13.14750004,13.34399986,50878000,7,7,0,4,4,6,0
20130604,13.35000038,13.44400024,13.15100002,13.28499985,41772000,0,6,4,4,0,7,7
20130605,13.29049969,13.58300018,13.2510004,13.35849953,70246000,12,12,12,0,12,12,12
20130606,13.38749981,13.52499962,13.21049976,13.39150047,49526000,10,10,0,6,8,6,8
20130607,13.48700047,14.00500011,13.45650005,13.84350014,92652000,0,0,0,9,0,9,0
20130610,13.83399963,14.12349987,13.76200008,14.05350018,61730000,0,0,12,12,21,0,21
20130611,13.80000019,13.9204998,13.71199989,13.73900032,61956000,0,6,9,12,0,15,0
20130612,13.82999992,13.84000015,13.52250004,13.58349991,44778000,6,6,5,6,9,5,5
20130613,13.57499981,13.84000015,13.51449966,13.78950024,52996000,3,3,12,6,4,4,4
20130614,13.75,13.85350037,13.67199993,13.69950008,43016000,0,7,0,2,2,3,0
20130617,13.81750011,14.01000023,13.78250027,13.90299988,57680000,0,4,3,8,0,9,6
20130618,13.95400047,14.14550018,13.90550041,14.0880003,42922000,4,4,16,0,13,8,9
20130619,14.06299973,14.16699982,13.89350033,13.90799999,56550000,3,7,0,7,3,6,0
20130620,13.75699997,13.93000031,13.61950016,13.67199993,59680000,0,3,2,2,2,5,0
20130621,13.72850037,13.79199982,13.48950005,13.66800022,84020000,8,3,8,6,8,3,8
20130624,13.56449986,13.65799999,13.25,13.53050041,77276000,0,6,3,4,4,3,4
20130625,13.61499977,13.67350006,13.44999981,13.60449982,48992000,0,4,6,9,0,8,3
20130626,13.69900036,13.89900017,13.67500019,13.87849998,60590000,8,12,22,0,18,8,0
20130627,13.95899963,14.01000023,13.72700024,13.87749958,50390000,8,12,4,14,9,0,11
20130628,13.80949974,13.9914999,13.80949974,13.88449955,63866000,6,6,6,6,0,8,8
20130701,13.94999981,14.16450024,13.8579998,14.10499954,57764000,12,14,14,0,14,14,12
20130702,14.05200005,14.32900047,14.02950001,14.1864996,64764000,8,8,0,6,6,6,6
20130703,14.10000038,14.27000046,14.10000038,14.20149994,27460000,0,0,4,4,0,8,0
20130705,14.25,14.31900024,14.10350037,14.29399967,39708000,6,6,6,6,12,6,6
20130708,14.3210001,14.58349991,14.30700016,14.52950001,60934000,6,6,12,6,6,6,6
20130709,14.55000019,14.62849998,14.4005003,14.57649994,55512000,0,8,0,4,4,0,0
20130710,14.57050037,14.66699982,14.47000027,14.6164999,36204000,5,3,4,4,0,8,0
20130711,14.74950027,15.03450012,14.60499954,14.9829998,80146000,9,10,10,4,14,7,12
20130712,14.93449974,15.37749958,14.92500019,15.37749958,90786000,16,10,8,9,12,9,4
20130715,15.36349964,15.39949989,15.21749973,15.32849979,44912000,0,6,0,6,0,0,0
20130716,15.36499977,15.46949959,15.2755003,15.34350014,53204000,8,6,8,6,0,10,10
20130717,15.34850025,15.43999958,15.28450012,15.43449974,40594000,12,12,12,0,12,12,12
20130718,15.3135004,15.31700039,15.09350014,15.20549965,61276000,7,7,0,4,4,6,0
20130719,15.21949959,15.28950024,15.09549999,15.26150036,59462000,0,6,4,4,0,7,7
20130722,15.46249962,15.46249962,15.10000038,15.17399979,50414000,6,6,6,0,6,12,0
20130723,15.15799999,15.25300026,15.02799988,15.05300045,39992000,3,3,3,3,4,4,0
20130724,15.15100002,15.19200039,14.90200043,14.94699955,40010000,0,4,2,4,6,2,2
20130725,14.94999981,15.22500038,14.83749962,15.17000008,108116000,14,7,12,9,10,10,4
20130726,14.97749996,15.68099976,14.77750015,15.60050011,176350000,14,18,4,12,12,4,0
20130729,15.55350018,15.64999962,15.29500008,15.30500031,64236000,12,0,6,6,0,0,0
20130730,15.38599968,15.48900032,15.07849979,15.12049961,61068000,6,6,6,6,0,12,12
20130731,15.19550037,15.25749969,15.05000019,15.06099987,37826000,12,12,12,0,12,12,12
20130801,15.15400028,15.31050014,14.94499969,15.2784996,59434000,12,12,0,6,6,6,6
20130802,15.23149967,15.26650047,15.07499981,15.21049976,50052000,0,0,3,3,3,0,9
20130805,15.17000008,15.18099976,14.91499996,15.04950047,44664000,0,6,6,6,0,18,0
20130806,15.0255003,15.06799984,14.8760004,15.03750038,36980000,4,4,4,6,12,3,3
20130807,15.00749969,15.04950047,14.80749989,14.84549999,39220000,2,2,6,4,2,4,0
20130808,14.92599964,14.92599964,14.62749958,14.7869997,46868000,0,4,4,3,3,3,3
20130809,14.7840004,14.96350002,14.71500015,14.86299992,39006000,0,12,7,0,8,8,3
20130812,14.78950024,14.95400047,14.76299953,14.83450031,30090000,12,10,0,12,12,4,10
20130813,14.79399967,14.81849957,14.53349972,14.69849968,46998000,0,0,4,4,0,8,0
20130814,14.71450043,14.71450043,14.52700043,14.56700039,28300000,6,6,6,6,12,6,6
20130815,14.43949986,14.46500015,14.25749969,14.32349968,45228000,2,2,6,4,2,4,0
20130816,14.32750034,14.41650009,14.22500038,14.24100018,48450000,0,4,4,3,3,3,3
20130819,14.25949955,14.47799969,14.17399979,14.2784996,49548000,0,12,8,0,10,10,0
20130820,14.29399967,14.47550011,14.2869997,14.35449982,31726000,18,18,0,18,18,0,0
20130821,14.25450039,14.42500019,14.19149971,14.22850037,36306000,12,0,6,6,0,0,0
20130822,14.23999977,14.49349976,14.23999977,14.48649979,28452000,4,4,4,15,0,15,12
20130823,14.56050014,14.57499981,14.39500046,14.50049973,39238000,3,3,10,0,8,8,0
20130826,14.52149963,14.55249977,14.28100014,14.31050014,34234000,4,4,3,4,3,6,0
20130827,14.19349957,14.26399994,13.98700047,14.04650021,49520000,0,2,1,2,3,2,0
20130828,14.01799965,14.14999962,13.96650028,14.07900047,29142000,2,2,8,6,4,2,4
20130829,14.07250023,14.29899979,14,14.19900036,31328000,0,9,6,3,6,3,3
20130830,14.22949982,14.24349976,14,14.04899979,30694000,0,6,0,6,0,0,0
20130903,14.23649979,14.56949997,14.20849991,14.43999958,57952000,12,4,12,4,0,14,0
20130904,14.41650009,14.76150036,14.37899971,14.68200016,48772000,4,4,4,0,16,0,4
20130905,14.68150043,14.85000038,14.63549995,14.70499992,36332000,3,3,0,10,0,4,0
20130906,14.76650047,14.94400024,14.53999996,14.79300022,45840000,6,6,6,6,4,8,8
20130909,14.86100006,14.99800014,14.82999992,14.98550034,32872000,12,4,12,4,8,8,8
20130910,15.02750015,15.05000019,14.86100006,15.01799965,35568000,0,7,0,2,2,3,0
20130911,14.94550037,15.09300041,14.8920002,14.98200035,34852000,0,3,2,2,0,7,0
20130912,14.96949959,15.10000038,14.88300037,14.94299984,32124000,2,2,2,3,6,3,0
20130913,15.00699997,15.01099968,14.81000042,14.89599991,27012000,1,1,2,3,2,1,0
20130916,14.99100018,15.05000019,14.76299953,14.80300045,36168000,0,1,1,2,1,1,0
20130917,14.88150024,15.23250008,14.80049992,15.20849991,45930000,7,10,8,8,10,7,0
20130918,15.20300007,15.63700008,15.14550018,15.60149956,58928000,14,12,9,15,12,0,4
20130919,15.6885004,15.72700024,15.55200005,15.60299969,47018000,8,3,6,9,0,4,0
20130920,15.62699986,16.0284996,15.62049961,15.81700039,106046000,6,6,6,6,4,8,8
20130923,15.70049953,15.79500008,15.4385004,15.57450008,37698000,6,3,6,3,4,8,0
20130924,15.62150002,15.90400028,15.56400013,15.70650005,40672000,0,4,4,3,3,3,3
20130925,15.72649956,15.83549976,15.53750038,15.63249969,40172000,0,6,3,0,3,6,0
20130926,15.69499969,15.96850014,15.66300011,15.90600014,39798000,6,6,4,5,6,5,6
20130927,15.84599972,15.86050034,15.66749954,15.80049992,33150000,0,3,4,0,4,3,0
20130930,15.6704998,15.76550007,15.55300045,15.63199997,32472000,4,4,3,4,3,6,0
20131001,15.71100044,16.04999924,15.68249989,16.04750061,47928000,0,8,4,3,6,3,6
20131002,15.90200043,16.08650017,15.8760004,16.02549934,44348000,5,5,3,4,3,6,0
20131003,16.01950073,16.14599991,15.65100002,15.73799992,53496000,0,4,2,3,0,5,0
