Date,Open,High,Low,Close,Volume,Ci1,Ci2,Ci3,Ci4,Ci5,Ci6,Ci7
20130110,18.87678528,18.88285637,18.41142845,18.69678688,601146000,10,4,12,12,0,10,12
20130111,18.6071434,18.76142883,18.53642845,18.58214378,350506800,4,10,10,4,9,12,9
20130114,17.95285606,18.125,17.80392838,17.9196434,734207600,3,3,3,3,4,4,0
20130115,17.79642868,17.82107162,17.26357079,17.35428619,876772400,0,4,2,4,6,2,2
20130116,17.66571426,18.19428635,17.5892868,18.07464218,690804800,3,3,12,6,4,4,4
20130117,18.22535706,18.2410717,17.92964363,17.95285606,453678400,0,8,0,4,4,3,5
20130118,17.80428505,17.93642807,17.72857094,17.8571434,472922800,0,0,8,8,0,8,8
20130122,18.02000046,18.13857079,17.73678589,18.02750015,461546400,0,18,18,0,12,12,12
20130123,18.17178535,18.39249992,18.02750015,18.35750008,861509600,12,12,0,6,6,6,6
20130124,16.4285717,16.63321495,16.0803566,16.0892868,1460852400,0,0,0,0,0,0,0
20130125,16.13178635,16.29392815,15.53571415,15.71000004,1208026400,6,6,6,6,0,12,12
20130128,15.63678646,16.1860714,15.56642914,16.06535721,785517600,12,12,12,0,12,12,12
20130129,16.375,16.43571472,16.14714241,16.36678505,571158000,10,10,0,6,8,6,8
20130130,16.3214283,16.52142906,16.2321434,16.31535721,417155200,0,0,3,8,3,6,8
20130131,16.32071495,16.40285683,16.24928665,16.26749992,319334400,0,12,16,12,8,16,16
20130201,16.39678574,16.40999985,16.01250076,16.20071411,539484400,6,3,6,3,4,8,0
20130204,16.21107101,16.28357124,15.78571415,15.79714298,477117200,0,3,2,2,2,3,0
20130205,15.85892868,16.41928673,15.79357147,16.35142899,573347600,0,9,6,3,10,8,0
20130206,16.30249977,16.6607132,16.1635704,16.33392906,593706400,6,6,3,8,7,0,0
20130207,16.5446434,16.7857132,16.21857071,16.72214317,704580800,10,6,9,10,0,9,4
20130208,16.9285717,17.10035706,16.7232132,16.96357155,633158400,6,4,11,0,11,4,6
20130211,17.0178566,17.31928635,16.9017868,17.14035606,517490400,4,8,4,8,6,6,8
20130212,17.12535667,17.22785759,16.70499992,16.71071434,609053200,0,3,2,2,2,5,0
20130213,16.6860714,16.91571426,16.54357147,16.67892838,475207600,4,2,4,6,8,2,2
20130214,16.59000015,16.84428596,16.57214355,16.66392899,355275200,0,3,6,3,2,2,2
20130215,16.74464226,16.79142952,16.42571449,16.43428612,391745200,0,7,0,2,2,3,0
20130219,16.46785736,16.52607155,16.20892906,16.42821312,435783600,0,4,6,6,0,8,8
20130220,16.34607124,16.34607124,16.02857018,16.03035736,476302400,3,8,8,0,7,12,0
20130221,15.92857075,16.04178619,15.81499958,15.93071365,447182400,4,4,6,4,6,4,4
20130222,16.0446434,16.12857056,15.94999981,16.10035706,330654800,0,12,7,0,8,8,3
20130225,16.20892906,16.25428581,15.80607128,15.81428623,372579200,8,8,0,6,6,4,0
20130226,15.85071373,16.1264286,15.63071442,16.03464317,501499600,0,4,6,6,0,8,8
20130227,16.01535606,16.15857124,15.73750019,15.87749958,587350400,3,8,8,0,7,12,0
