Date,Open,High,Low,Close,Volume,Ci1,Ci2,Ci3,Ci4,Ci5,Ci6,Ci7
20130509,29.71857071,31.26857185,29.50285721,30.91571426,36108800,0,16,6,6,10,6,0
20130510,30.91571426,31.3928566,30.65142822,31.09857178,18844700,16,8,12,16,12,0,16
20130513,31.02428627,32.81285858,31.02000046,32.76856995,41357400,12,8,18,18,0,20,12
20130514,33.1414299,33.79857254,32.97142792,33.42428589,38535700,4,6,12,4,10,8,10
20130515,34.20999908,35.06142807,33.97571564,34.77142715,36029700,6,8,4,8,4,8,6
20130516,35.27857208,35.54999924,33.59999847,33.86142731,28053200,0,3,4,0,4,3,0
20130517,34.07571411,34.67856979,33.7142868,34.1428566,20141100,6,5,6,5,4,6,6
20130520,34.06285858,34.52142715,33.8228569,34.22142792,14765800,0,8,4,0,4,6,4
20130521,34.29142761,34.41428757,33.57143021,33.86999893,11491200,5,5,0,4,4,6,0
20130522,33.48571396,34.02857208,32.37714386,32.65142822,21769300,0,3,2,2,2,5,0
20130523,32.24285889,32.59999847,31.64999962,32.31142807,16198000,4,2,4,6,8,2,2
20130524,32.17571259,32.7142868,32.07143021,32.6771431,11808300,0,3,6,3,2,2,2
20130528,33.1071434,33.70857239,30.42571449,30.59857178,39525500,0,7,0,2,2,3,0
20130529,30.64999962,31.62571335,29.98714256,30.76285744,34101900,0,6,4,4,0,7,7
20130530,30.86142921,31.8571434,30.22142982,31.80857086,24087700,12,14,14,0,14,14,12
20130531,32.1771431,32.79714203,32.00714111,32.32143021,25416300,8,8,0,6,6,6,6
20130603,32.43571472,32.5,31.08142853,31.70999908,21270900,0,0,4,4,0,8,0
20130604,31.44571495,32.50714111,31.22428513,32.18714142,23006900,4,10,10,9,12,7,14
20130605,31.88428688,32.57143021,31.20000076,31.92285728,33096000,2,2,6,4,2,4,0
20130606,31.73142815,32.20000076,30.5714283,31.1057148,26069400,0,3,2,2,2,3,0
20130607,31.23428535,31.54571342,30.80714226,31.45999908,15299200,0,8,4,3,6,3,6
20130610,31.86142921,31.90428543,30.86571312,31.56142807,13812400,8,8,4,6,6,6,6
20130611,31.12142944,31.46714211,30.54285622,30.63714218,14213500,0,3,0,6,0,3,0
