Open,High,Low,Close,Adj Close,Volume,Date,CI1,CI2,CI3,CI4,CI5,CI6,CI7
7.142857075,7.190357208,6.989643097,7.037857056,5.990049362,575094800,2/23/2010,0,6,3,0,3,6,0
7.079642773,7.19428587,7.065713882,7.166429043,6.099478722,460566400,2/24/2010,8,8,4,6,6,6,6
7.049285889,7.244999886,7.031785965,7.214285851,6.140209675,665126000,2/25/2010,0,4,3,0,10,0,3
7.227857113,7.327499866,7.214285851,7.307857037,6.219852448,507460800,2/26/2010,4,4,0,16,0,4,4
7.348214149,7.482142925,7.337500095,7.463929176,6.352688313,550093600,3/1/2010,4,0,16,0,4,4,4
7.497499943,7.529643059,7.419285774,7.458929062,6.34843111,566546400,3/2/2010,0,10,0,3,3,4,0
7.462142944,7.495357037,7.426428795,7.476070881,6.363022327,372052800,3/3/2010,0,6,4,4,0,7,7
7.474286079,7.532856941,7.451070786,7.52535677,6.404969215,366041200,3/4/2010,12,12,12,0,12,12,12
7.676428795,7.846428871,7.665357113,7.819643021,6.655442238,899620400,3/5/2010,12,12,0,6,6,6,6
7.857500076,7.860356808,7.794642925,7.824285984,6.659393787,429889600,3/8/2010,0,0,0,0,0,0,0
7.796785831,8.035714149,7.781785965,7.965000153,6.779159069,920259200,3/9/2010,6,6,6,6,0,12,12
7.993928909,8.052857399,7.971428871,8.029999733,6.834480286,596218000,3/10/2010,6,6,6,0,6,12,0
7.996786118,8.053570747,7.975714207,8.053570747,6.854542732,405700400,3/11/2010,3,3,3,3,4,4,0
8.12035656,8.133213997,8.0625,8.092857361,6.887979031,416323600,3/12/2010,0,4,2,4,6,2,2
8.049285889,8.053570747,7.866071224,7.99428606,6.804085255,493502800,3/15/2010,2,2,6,4,2,4,0
8.006428719,8.034999847,7.946785927,8.01607132,6.822624683,446908000,3/16/2010,0,4,4,3,3,3,3
8.032142639,8.087499619,7.973928928,8.004285812,6.812593937,450956800,3/17/2010,0,8,4,0,4,6,4
8.003570557,8.035714149,7.95035696,8.02321434,6.828703403,342109600,3/18/2010,8,8,0,6,6,6,6
8.028214455,8.044285774,7.901071072,7.9375,6.75575161,559445600,3/19/2010,0,0,5,0,2,3,0
7.873929024,8.071429253,7.862500191,8.026785851,6.831744671,456419600,3/22/2010,4,8,9,8,4,9,12
8.058570862,8.170714378,8.003570557,8.155714035,6.941478729,602431200,3/23/2010,10,12,10,4,12,12,0
8.130000114,8.221428871,8.125356674,8.191785812,6.972179413,597780400,3/24/2010,12,10,4,12,12,0,10
8.247142792,8.248929024,8.080356598,8.094642639,6.889498234,542284400,3/25/2010,5,3,4,4,0,8,0
8.176786423,8.283928871,8.162500381,8.246429443,7.018687725,640875200,3/26/2010,4,4,4,6,12,3,3
8.321429253,8.352499962,8.272143364,8.299642563,7.063976765,540744400,3/29/2010,3,3,8,6,3,4,3
8.449999809,8.4814291,8.366070747,8.423213959,7.169154644,527310000,3/30/2010,0,12,0,7,6,6,3
8.410357475,8.450357437,8.373571396,8.392856598,7.143316746,430659600,3/31/2010,6,0,7,3,4,4,0
8.478928566,8.526070595,8.3125,8.427499771,7.172799587,603145200,4/1/2010,6,6,6,6,4,8,8
